Ablehnungsgrund,Adresse,Bewerbungsdatum,Bewerbungsquelle,Bewertung Assessment,Bewertung Erstes Gespräch,Bewertung Prescreening,E-Mail,Effektiver Gehalt,Einstellungsdatum,Geburtsdatum,Gehaltsvorstellungen,Geschlecht,Headhunter Firma,Headhunter Name,Interviewer,Job Titel,Kandidaten-ID,Nachname,Standort,Status,StellenID,Telefonnummer,Veröffentlichungsdatum,Vorname,id
Andere,"Pseudonymized, 3381 Zug",30.10.2023,Organic search,knapp ungenügend,gut,genügend,pseudonymized_E-Mail_2298,102814.63,12.12.2023,07.07.1997,>140k,M,,,Franca Zürcher,SEO Specialist,50b47f03-cb99-439f-84a6-f0b4ed3a28be,pseudonymized_Nachname_2298,Luzern,Assessment,3d84e44d-54c0-4102-8e9c-561aa6a92b33,pseudonymized_Telefonnummer_2298,10.01.2024,pseudonymized_Vorname_2298,c6ca
Andere,"Pseudonymized, 8072 Appenzell Innerrhoden",30.05.2021,LinkedIN Paid Post,knapp ungenügend,sehr gut,sehr gut,pseudonymized_E-Mail_2299,113545.68,09.09.2023,18.02.2002,>140k,M,,,Greta Berger-Eichenberger,Payroll Specialist,c87871a0-4b85-44f2-b828-71e84ef14d95,pseudonymized_Nachname_2299,Luzern,Prescreening,1b5564a5-c000-4862-abef-cf0e59e86574,pseudonymized_Telefonnummer_2299,07.11.2021,pseudonymized_Vorname_2299,1390
Überqualifiziert,"Pseudonymized, 9779 Basel-Stadt",29.01.2024,Google Ads,deutlich ungenügend,genügend,knapp ungenügend,pseudonymized_E-Mail_2300,,03.06.2024,13.06.1999,110-120k,M,,,Kristian Furrer,Copywriter,bc26ee51-f2bf-455d-bb6c-dfad3e887e30,pseudonymized_Nachname_2300,Bern,Eingereicht,c34a17c2-cb92-4ca6-a638-6f701208e0a2,pseudonymized_Telefonnummer_2300,01.06.2024,pseudonymized_Vorname_2300,9339
Zu wenig Erfahrung,"Pseudonymized, 3208 Zug",03.04.2020,LinkedIN Paid Post,genügend,sehr gut,gut,pseudonymized_E-Mail_2301,130474.41,15.01.2022,01.02.1959,90-100k,F,,,Kristian Furrer,Database Administrator,f04aeb59-bdbf-42d6-9866-49229b9ef5b3,pseudonymized_Nachname_2301,Luzern,1. Interview,7be262ea-780c-4364-8e44-586aceef98ac,pseudonymized_Telefonnummer_2301,30.05.2021,pseudonymized_Vorname_2301,fdea
Andere,"Pseudonymized, 3772 Schaffhausen",04.03.2020,Direkt,knapp ungenügend,sehr gut,gut,pseudonymized_E-Mail_2302,126510.39,16.04.2022,11.08.1975,80-90k,M,,,Prof. Layla Küng,Social Media Manager,27bab1c6-0163-46b1-b504-00bbf5d553cb,pseudonymized_Nachname_2302,Bern,Eingereicht,406d6f53-f0b6-4409-8320-29d57dbc97ac,pseudonymized_Telefonnummer_2302,12.08.2020,pseudonymized_Vorname_2302,44fe
Gehaltsvorstellungen zu hoch,"Pseudonymized, 1632 Zug",21.01.2022,Direkt,deutlich ungenügend,genügend,deutlich ungenügend,pseudonymized_E-Mail_2303,82554.06,26.09.2023,26.01.2005,90-100k,M,,,Marijana Blaser Schuler,Network Administrator,d75df247-0544-4f6b-a76b-cce8e0698f80,pseudonymized_Nachname_2303,Zürich,Abgelehnt,f342acfc-e16c-4620-a1b1-9c429d7ec34e,pseudonymized_Telefonnummer_2303,10.09.2022,pseudonymized_Vorname_2303,592e
Andere,"Pseudonymized, 4505 Glarus",24.04.2022,Direkt,deutlich ungenügend,sehr gut,knapp ungenügend,pseudonymized_E-Mail_2304,80168.09,1900-01-01,08.09.1973,60-70k,M,,,Wanda Giger,Copywriter,ee6ca3ad-4168-4abd-b487-734578cfa973,pseudonymized_Nachname_2304,Zürich,1. Interview,c3700e31-27b0-4225-afc1-d36d584ffc73,pseudonymized_Telefonnummer_2304,05.10.2023,pseudonymized_Vorname_2304,d8ba
Überqualifiziert,"Pseudonymized, 2776 Schwyz",12.08.2022,LinkedIN Jobslots,sehr gut,knapp ungenügend,sehr gut,pseudonymized_E-Mail_2305,75230.14,12.08.2022,25.11.1984,60-70k,F,,,Gregor Eichenberger,Marketing Manager,753eee3b-5319-4b87-8e13-53e5aa46db69,pseudonymized_Nachname_2305,Zürich,Eingereicht,1c83d822-5717-4130-b115-6b5bdfeb6f7c,pseudonymized_Telefonnummer_2305,15.06.2023,pseudonymized_Vorname_2305,c599
Andere,"Pseudonymized, 2414 Thurgau",17.08.2021,Meta,genügend,deutlich ungenügend,genügend,pseudonymized_E-Mail_2306,109972.79,24.10.2022,25.09.1966,90-100k,M,,,Irene Fuchs,Social Media Manager,a96c4353-c57d-42fa-8e3e-351a43437503,pseudonymized_Nachname_2306,Bern,1. Interview,e1facc4b-9921-4494-8469-b1549ad59a71,pseudonymized_Telefonnummer_2306,17.06.2023,pseudonymized_Vorname_2306,b800
Bessere Kandidaten,"Pseudonymized, 7360 Appenzell Ausserrhoden",16.01.2022,Organic search,deutlich ungenügend,sehr gut,sehr gut,pseudonymized_E-Mail_2307,120852.53,24.02.2023,21.11.1976,120-130k,M,,,Franca Zürcher,Social Media Manager,91e9b976-07e0-4b3a-a2bf-e9f0440ed65c,pseudonymized_Nachname_2307,Bern,Abgelehnt,40f21a59-741b-47aa-a4cd-4692be098672,pseudonymized_Telefonnummer_2307,27.05.2023,pseudonymized_Vorname_2307,3791
Bessere Kandidaten,"Pseudonymized, 7786 Basel-Landschaft",15.11.2021,LinkedIN Paid Post,genügend,sehr gut,gut,pseudonymized_E-Mail_2308,57276.07,28.04.2023,02.07.1963,60-70k,F,,,Irene Fuchs,Event Coordinator,d31c8169-6227-475b-8ef4-7df737f47e13,pseudonymized_Nachname_2308,Luzern,Assessment,c9acbad7-7b6e-4626-a90c-1ee47feb0b46,pseudonymized_Telefonnummer_2308,25.04.2023,pseudonymized_Vorname_2308,d8e9
Unvollständige Bewerbung,"Pseudonymized, 7973 Appenzell Ausserrhoden",09.04.2020,Meta,genügend,Unknown,knapp ungenügend,pseudonymized_E-Mail_2309,56489.47,06.06.2023,02.11.1961,100-110k,F,,,Gregor Eichenberger,Marketing Manager,4ce845af-b3ad-4aba-9e1a-acc01e518c5e,pseudonymized_Nachname_2309,Luzern,1. Interview,20c9f5dc-8f6f-45d4-9793-425f6af7b9f1,pseudonymized_Telefonnummer_2309,13.05.2022,pseudonymized_Vorname_2309,4ebf
Gehaltsvorstellungen zu hoch,"Pseudonymized, 6944 Nidwalden",17.12.2021,LinkedIN Paid Post,Unknown,Unknown,deutlich ungenügend,pseudonymized_E-Mail_2310,,1900-01-01,1900-01-01,,M,,,Zahra Hug Lutz,SEO Specialist,a7c8f0bd-6398-43df-9251-c0b212fc8350,pseudonymized_Nachname_2310,Bern,Assessment,b5cd6b09-e61d-40fb-a6ab-b557ea214268,pseudonymized_Telefonnummer_2310,20.01.2023,pseudonymized_Vorname_2310,6853
Unvollständige Bewerbung,"Pseudonymized, 6871 Schaffhausen",04.03.2020,Meta,deutlich ungenügend,knapp ungenügend,deutlich ungenügend,pseudonymized_E-Mail_2311,74379.22,29.10.2023,01.06.1965,120-130k,M,,,Séverine Huber,Software Engineer,99c17143-28fc-4e31-89cc-2ca624d6808f,pseudonymized_Nachname_2311,Bern,Assessment,f6d14020-47b2-44e9-8835-b6d940a9efe2,pseudonymized_Telefonnummer_2311,16.09.2020,pseudonymized_Vorname_2311,ca7c
Bessere Kandidaten,"Pseudonymized, 4042 Nidwalden",09.07.2022,Direkt,Unknown,gut,deutlich ungenügend,pseudonymized_E-Mail_2312,111018.09,23.02.2024,31.10.1997,>140k,M,,,Irene Fuchs,Database Administrator,6d7beae3-c428-4d64-a6f5-526c87288b21,pseudonymized_Nachname_2312,Zürich,Abgelehnt,57cd85e0-7a2b-4d09-aa16-93805bbbb334,pseudonymized_Telefonnummer_2312,16.09.2022,pseudonymized_Vorname_2312,18e4
Überqualifiziert,"Pseudonymized, 3541 Basel-Stadt",03.08.2020,Direkt,knapp ungenügend,knapp ungenügend,knapp ungenügend,pseudonymized_E-Mail_2313,81210.67,04.05.2022,31.03.1997,100-110k,F,,,Séverine Huber,Brand Manager,d43f6180-5aaa-49ff-b593-1086cca47e0e,pseudonymized_Nachname_2313,Luzern,Abgelehnt,359ab5e7-00f6-4d23-82f5-5e33c27efad9,pseudonymized_Telefonnummer_2313,22.07.2023,pseudonymized_Vorname_2313,6d4a
Gehaltsvorstellungen zu hoch,"Pseudonymized, 5066 Zürich",09.05.2023,Google Ads,gut,gut,knapp ungenügend,pseudonymized_E-Mail_2314,89871.14,02.04.2024,15.06.1999,90-100k,F,,,Séverine Huber,HR Specialist,21eb1c5c-5bab-46d9-add7-99a0af4377f4,pseudonymized_Nachname_2314,Bern,Abgelehnt,89fd457e-32a3-4cf8-beca-79f168ce49e6,pseudonymized_Telefonnummer_2314,24.02.2024,pseudonymized_Vorname_2314,fa58
,"Pseudonymized, 2036 Genf",28.04.2024,LinkedIN Paid Post,gut,deutlich ungenügend,Unknown,pseudonymized_E-Mail_2315,70715.19,27.05.2024,05.07.1965,>140k,F,,,Hermine Hess,Financial Analyst,7e1b5d30-6466-4761-84d3-4d848c1cb1ce,pseudonymized_Nachname_2315,Luzern,Angebot,e2f9f61b-c56f-4b19-9ac6-87ffe6b2a6c0,pseudonymized_Telefonnummer_2315,19.05.2024,pseudonymized_Vorname_2315,6cba
Bessere Kandidaten,"Pseudonymized, 9852 Wallis",21.03.2024,Organic search,deutlich ungenügend,genügend,Unknown,pseudonymized_E-Mail_2316,,03.05.2024,25.01.2004,120-130k,F,,,Zahra Hug Lutz,Marketing Manager,2f8c30e6-7641-49b3-821a-6e2f0b75c1c8,pseudonymized_Nachname_2316,Zürich,Abgelehnt,e2804c7c-48a2-422c-8d26-c00262706ee5,pseudonymized_Telefonnummer_2316,07.04.2024,pseudonymized_Vorname_2316,6d66
Unvollständige Bewerbung,"Pseudonymized, 8000 Tessin",16.04.2022,Meta,deutlich ungenügend,knapp ungenügend,sehr gut,pseudonymized_E-Mail_2317,54906.48,19.02.2024,25.01.1974,130-140k,F,,,Gregor Eichenberger,Accountant,f88759d7-e0d5-4512-8054-f57341ec69d4,pseudonymized_Nachname_2317,Luzern,1. Interview,af7c006c-4824-4fef-bc9e-d9f0d214ddf6,pseudonymized_Telefonnummer_2317,21.04.2022,pseudonymized_Vorname_2317,da4e
Unzureichende Qualifikationen,"Pseudonymized, 4500 Uri",18.02.2022,Google Ads,gut,knapp ungenügend,gut,pseudonymized_E-Mail_2318,113240.7,16.03.2024,17.08.1967,110-120k,F,,,Kristian Furrer,Recruiter,163a34bc-f01a-4bb7-a827-dbc443396c82,pseudonymized_Nachname_2318,Zürich,1. Interview,60b72fb7-87f9-4cdf-9cb6-b9d112dd43e4,pseudonymized_Telefonnummer_2318,15.05.2024,pseudonymized_Vorname_2318,308f
Überqualifiziert,"Pseudonymized, 2832 Appenzell Innerrhoden",31.07.2023,LinkedIN Jobslots,knapp ungenügend,deutlich ungenügend,gut,pseudonymized_E-Mail_2319,51757.8,02.03.2024,28.11.1989,60-70k,F,,,Greta Berger-Eichenberger,Graphic Designer,cf61b7f3-575a-477a-8b89-848781fafb47,pseudonymized_Nachname_2319,Bern,Eingereicht,b3860955-a3f9-437b-a2c7-8d1e9f060086,pseudonymized_Telefonnummer_2319,08.04.2024,pseudonymized_Vorname_2319,258d
Zu wenig Erfahrung,"Pseudonymized, 1101 Jura",31.07.2023,Google Ads,genügend,deutlich ungenügend,sehr gut,pseudonymized_E-Mail_2320,55277.23,30.04.2024,22.11.1971,110-120k,F,,,Zahra Hug Lutz,SEO Specialist,1085641c-d998-4afd-abec-e118ed99c275,pseudonymized_Nachname_2320,Bern,Prescreening,17ddd5f6-c7f6-487b-bf0c-319b8f4b2022,pseudonymized_Telefonnummer_2320,04.04.2024,pseudonymized_Vorname_2320,a4e3
Nicht verfügbar,"Pseudonymized, 9995 Appenzell Innerrhoden",26.02.2020,Direkt,gut,deutlich ungenügend,genügend,pseudonymized_E-Mail_2321,126810.39,07.07.2021,24.01.1961,70-80k,F,,,Greta Berger-Eichenberger,Network Administrator,1244e2b5-f1dd-478d-8576-4d89da75781d,pseudonymized_Nachname_2321,Zürich,Prescreening,b28f80f3-f55c-48d6-900d-95390807603e,pseudonymized_Telefonnummer_2321,14.06.2021,pseudonymized_Vorname_2321,7513
Gehaltsvorstellungen zu hoch,"Pseudonymized, 8104 Graubünden",14.06.2023,Meta,genügend,sehr gut,genügend,pseudonymized_E-Mail_2322,90969.54,1900-01-01,21.03.1985,100-110k,M,,,Hermine Hess,Payroll Specialist,9a5656c9-ed49-4b7a-bfb6-f82682d1695a,pseudonymized_Nachname_2322,Bern,Prescreening,03192a25-9788-4d4b-a8e9-f7e3b8d0f530,pseudonymized_Telefonnummer_2322,04.04.2024,pseudonymized_Vorname_2322,59ce
Bessere Kandidaten,Unknown,10.03.2020,Google Ads,genügend,gut,genügend,pseudonymized_E-Mail_2323,114997.98,12.03.2021,1900-01-01,60-70k,M,,,Marijana Blaser Schuler,Payroll Specialist,8149d7a2-8179-481f-84c0-f98e904ddf95,pseudonymized_Nachname_2323,Zürich,Eingereicht,fc0537a2-1160-4353-876f-5a5121710005,pseudonymized_Telefonnummer_2323,05.01.2022,pseudonymized_Vorname_2323,dab5
Unvollständige Bewerbung,"Pseudonymized, 1905 Uri",22.04.2022,Google Ads,genügend,knapp ungenügend,gut,pseudonymized_E-Mail_2324,107746.37,08.05.2022,23.06.1964,100-110k,M,,,Margret Hasler,Network Administrator,67c918dc-f9da-48f1-9afe-6e2233769add,pseudonymized_Nachname_2324,Bern,Assessment,ca2b2a26-6cda-490b-b6d7-48fe3ed57025,pseudonymized_Telefonnummer_2324,01.06.2022,pseudonymized_Vorname_2324,509c
Überqualifiziert,Unknown,04.05.2020,Google Ads,knapp ungenügend,deutlich ungenügend,knapp ungenügend,pseudonymized_E-Mail_2325,82873.13,20.10.2022,12.11.2004,80-90k,F,,,Greta Berger-Eichenberger,Auditor,a0edaaeb-08ac-41d2-9e20-e8d348ad16f1,pseudonymized_Nachname_2325,Bern,Prescreening,e39347da-b655-404d-80e9-bedf04a65dfc,pseudonymized_Telefonnummer_2325,20.12.2021,pseudonymized_Vorname_2325,1aea
Gehaltsvorstellungen zu hoch,"Pseudonymized, 7305 Schwyz",13.08.2022,Meta,sehr gut,knapp ungenügend,deutlich ungenügend,pseudonymized_E-Mail_2326,139695.8,22.03.2023,17.08.1974,60-70k,F,,,Gregor Eichenberger,Network Administrator,2974d768-506f-4fd7-8023-7c4a921433ff,pseudonymized_Nachname_2326,Luzern,Angebot,fb568fc9-2940-49e3-937f-f88312493a22,pseudonymized_Telefonnummer_2326,18.04.2024,pseudonymized_Vorname_2326,d0cf
Nicht verfügbar,"Pseudonymized, 8653 Graubünden",21.12.2022,LinkedIN Jobslots,sehr gut,gut,sehr gut,pseudonymized_E-Mail_2327,108368.51,10.05.2024,20.10.1974,60-70k,M,,,Manon Bättig,Network Administrator,814900b0-fb51-4d59-999a-e213393a6669,pseudonymized_Nachname_2327,Bern,Eingereicht,56299885-20c4-4991-a2fb-62fa1e3b65d6,pseudonymized_Telefonnummer_2327,31.08.2023,pseudonymized_Vorname_2327,31a8
Unzureichende Qualifikationen,"Pseudonymized, 7017 Tessin",17.01.2020,LinkedIN Jobslots,knapp ungenügend,Unknown,genügend,pseudonymized_E-Mail_2328,112554.51,16.01.2024,30.03.1998,80-90k,,,,Manon Bättig,IT Manager,cfbe745c-548f-4147-89af-63c902fe95fa,pseudonymized_Nachname_2328,Bern,Assessment,b9704753-64fb-4432-8d27-e793a396606d,pseudonymized_Telefonnummer_2328,23.09.2021,pseudonymized_Vorname_2328,a1ca
Andere,"Pseudonymized, 5430 Zürich",24.09.2023,Google Ads,knapp ungenügend,genügend,gut,pseudonymized_E-Mail_2329,118018.33,01.05.2024,24.12.1958,,M,,,Wanda Giger,HR Specialist,665fdf0c-6e50-45bd-a261-c00928bf7666,pseudonymized_Nachname_2329,Luzern,Angebot,8e3114ca-7c4f-428e-b4ec-d80708004d41,pseudonymized_Telefonnummer_2329,26.05.2024,pseudonymized_Vorname_2329,474d
Überqualifiziert,"Pseudonymized, 2085 Tessin",06.11.2020,Direkt,deutlich ungenügend,sehr gut,knapp ungenügend,pseudonymized_E-Mail_2330,60692.74,14.08.2022,14.08.1993,70-80k,,,,Wanda Giger,Accountant,2790e247-31f9-41b8-9e4d-8c851ba241b3,pseudonymized_Nachname_2330,Zürich,Prescreening,469a8868-32ce-4a4d-a765-15da6d67ea9e,pseudonymized_Telefonnummer_2330,02.04.2021,pseudonymized_Vorname_2330,a0d8
Nicht verfügbar,"Pseudonymized, 2206 Bern",27.01.2024,Meta,genügend,deutlich ungenügend,sehr gut,pseudonymized_E-Mail_2331,91463.15,18.02.2024,14.07.1958,100-110k,F,,,Wanda Giger,Database Administrator,dfd4fe7a-4921-409f-8634-ede933ab394d,pseudonymized_Nachname_2331,Bern,Angebot,8254ec60-e065-4af7-a2e8-0ca93eb3d510,pseudonymized_Telefonnummer_2331,09.03.2024,pseudonymized_Vorname_2331,04ec
Andere,"Pseudonymized, 1048 Neuenburg",02.04.2020,LinkedIN Paid Post,knapp ungenügend,sehr gut,gut,pseudonymized_E-Mail_2332,87357.01,21.08.2023,24.07.1969,>140k,F,,,Zahra Hug Lutz,Accountant,e01ae222-66b8-4c95-a8bb-1fc98c9e75b1,pseudonymized_Nachname_2332,Bern,Angebot,39183462-bb18-4c81-b173-e42d66df9036,pseudonymized_Telefonnummer_2332,03.09.2021,pseudonymized_Vorname_2332,c3c5
Andere,"Pseudonymized, 5210 Schaffhausen",04.11.2022,Headhunter,deutlich ungenügend,sehr gut,knapp ungenügend,pseudonymized_E-Mail_2333,73378.91,07.05.2024,02.05.1960,60-70k,M,Ziegler Inc,Teresa Schneider,Séverine Huber,Financial Analyst,6e42b5b2-56cb-4fa0-b340-d8e29bfd2bbf,pseudonymized_Nachname_2333,Zürich,Abgelehnt,4e06a900-27f1-4def-bc03-a05d3c58f0c5,pseudonymized_Telefonnummer_2333,17.06.2023,pseudonymized_Vorname_2333,b4b7
Bessere Kandidaten,"Pseudonymized, 9633 Appenzell Ausserrhoden",13.01.2024,Organic search,knapp ungenügend,sehr gut,deutlich ungenügend,pseudonymized_E-Mail_2334,120711.45,13.02.2024,10.10.1958,70-80k,M,,,Manon Bättig,Software Engineer,7ebff927-9cf5-48dc-b1e1-773c00a30c35,pseudonymized_Nachname_2334,Zürich,Prescreening,8a4f8da6-674c-4509-b3ab-a23937ed9baa,pseudonymized_Telefonnummer_2334,13.05.2024,pseudonymized_Vorname_2334,01cc
Bessere Kandidaten,"Pseudonymized, 1276 Genf",06.02.2022,Meta,sehr gut,Unknown,deutlich ungenügend,pseudonymized_E-Mail_2335,115084.38,03.03.2024,26.03.1988,>140k,M,,,Manon Bättig,Software Engineer,7ade04f5-81c6-4ce4-882f-8b864490a8f6,pseudonymized_Nachname_2335,Luzern,Assessment,a07edc83-9e43-4ecf-a601-7e3745ff219d,pseudonymized_Telefonnummer_2335,1900-01-01,pseudonymized_Vorname_2335,0153
Zu wenig Erfahrung,"Pseudonymized, 2904 Graubünden",17.02.2021,Organic search,sehr gut,genügend,sehr gut,pseudonymized_E-Mail_2336,74141.86,08.06.2022,28.05.1972,130-140k,M,,,Zahra Hug Lutz,Auditor,b32c054f-7922-42ce-9b5c-75ea3de57070,pseudonymized_Nachname_2336,Bern,Angebot,31a62d2d-7f9f-4b14-946d-ebad71eebaa3,pseudonymized_Telefonnummer_2336,08.11.2021,pseudonymized_Vorname_2336,bf11
Gehaltsvorstellungen zu hoch,"Pseudonymized, 9527 Appenzell Innerrhoden",26.06.2021,LinkedIN Paid Post,genügend,knapp ungenügend,deutlich ungenügend,pseudonymized_E-Mail_2337,61520.97,07.05.2022,03.11.1968,50-60k,F,,,Séverine Huber,PR Specialist,689caed8-cb29-46ff-9d8c-bd871f70b4fe,pseudonymized_Nachname_2337,Luzern,Assessment,c454a3d4-0661-423e-afda-d7a62ed5a5a9,pseudonymized_Telefonnummer_2337,14.02.2022,pseudonymized_Vorname_2337,4f6b
Unzureichende Qualifikationen,"Pseudonymized, 5799 Zug",30.08.2023,LinkedIN Jobslots,genügend,knapp ungenügend,deutlich ungenügend,pseudonymized_E-Mail_2338,137469.42,17.09.2023,28.05.1960,90-100k,M,,,Franca Zürcher,Content Creator,d5989dce-57a3-425c-a095-8cf06685b268,pseudonymized_Nachname_2338,Bern,1. Interview,f8a6905e-9230-493a-9b0d-28c59a5c0341,pseudonymized_Telefonnummer_2338,30.08.2023,pseudonymized_Vorname_2338,17c5
Unzureichende Qualifikationen,"Pseudonymized, 3417 St. Gallen",03.04.2022,Google Ads,sehr gut,deutlich ungenügend,genügend,pseudonymized_E-Mail_2339,77958.8,01.01.2023,14.04.1964,70-80k,M,,,Marijana Blaser Schuler,Event Coordinator,49924971-43c3-4a43-ab51-d32da7254c27,pseudonymized_Nachname_2339,Luzern,Abgelehnt,61c3667f-9078-44f0-b139-6c3c6b402397,pseudonymized_Telefonnummer_2339,11.07.2022,pseudonymized_Vorname_2339,a63c
Bessere Kandidaten,"Pseudonymized, 7965 Thurgau",26.05.2023,Organic search,genügend,knapp ungenügend,deutlich ungenügend,pseudonymized_E-Mail_2340,117940.81,23.06.2023,06.11.1997,>140k,F,,,Marijana Blaser Schuler,Brand Manager,13b61d29-6899-40cd-bd93-20bef5600af0,pseudonymized_Nachname_2340,Bern,Abgelehnt,0e796c26-0feb-4ab2-8b8b-c8b9aa51ecd4,pseudonymized_Telefonnummer_2340,1900-01-01,pseudonymized_Vorname_2340,bad8
Unvollständige Bewerbung,"Pseudonymized, 3417 Schwyz",26.01.2021,Headhunter,deutlich ungenügend,Unknown,deutlich ungenügend,pseudonymized_E-Mail_2341,134912.23,13.11.2022,25.04.1973,90-100k,F,Ziegler Inc,Teresa Schneider,Greta Berger-Eichenberger,Recruiter,ac59d6f9-4563-4514-ba7b-a3dc7733570e,pseudonymized_Nachname_2341,Bern,Assessment,0bca599a-cd8c-42fc-83de-aeae1b7d0c5c,pseudonymized_Telefonnummer_2341,06.08.2021,pseudonymized_Vorname_2341,4010
Unzureichende Qualifikationen,"Pseudonymized, 8287 Basel-Stadt",11.05.2024,Organic search,genügend,deutlich ungenügend,knapp ungenügend,pseudonymized_E-Mail_2342,,14.05.2024,19.09.1978,>140k,M,,,Kristian Furrer,Budget Analyst,22ae25ee-7c9b-479b-9971-3e58ce417ce8,pseudonymized_Nachname_2342,Bern,Assessment,3d622c77-9284-40a5-8d36-30eb7e2f3346,pseudonymized_Telefonnummer_2342,04.06.2024,pseudonymized_Vorname_2342,cc0e
Überqualifiziert,Unknown,10.06.2023,Direkt,sehr gut,sehr gut,genügend,pseudonymized_E-Mail_2343,122740.4,06.09.2023,19.07.1966,110-120k,M,,,Margret Hasler,Brand Manager,9e6ea2d1-af80-4740-b799-bc1deb3a8efd,pseudonymized_Nachname_2343,Luzern,Abgelehnt,9bab7a56-3109-40af-bb06-f4d5bbb5bd58,pseudonymized_Telefonnummer_2343,03.02.2024,pseudonymized_Vorname_2343,c2f3
Unvollständige Bewerbung,"Pseudonymized, 4080 Appenzell Innerrhoden",07.05.2020,Google Ads,knapp ungenügend,genügend,deutlich ungenügend,pseudonymized_E-Mail_2344,92987.19,31.01.2021,08.06.1975,110-120k,M,,,Irene Fuchs,Brand Manager,ad5ce4f1-35aa-4d1a-9fea-784a66a50265,pseudonymized_Nachname_2344,Bern,Prescreening,3d795aa0-951a-4ed9-9e48-cd2e17ce10b1,pseudonymized_Telefonnummer_2344,18.08.2023,pseudonymized_Vorname_2344,d00b
Unzureichende Qualifikationen,"Pseudonymized, 4885 Luzern",07.12.2020,Direkt,sehr gut,sehr gut,knapp ungenügend,pseudonymized_E-Mail_2345,129169.49,05.02.2023,25.03.1985,100-110k,F,,,Zahra Hug Lutz,Auditor,f99e4b7f-2a7b-4a06-ae94-e54e80e817f7,pseudonymized_Nachname_2345,Zürich,Prescreening,750bb728-8e7f-40f6-923b-09cd2dc5dc89,pseudonymized_Telefonnummer_2345,22.01.2021,pseudonymized_Vorname_2345,c799
Andere,"Pseudonymized, 6492 Obwalden",14.05.2021,LinkedIN Jobslots,gut,sehr gut,genügend,pseudonymized_E-Mail_2346,118737.2,18.08.2022,29.06.1989,120-130k,F,,,Manon Bättig,Recruiter,99a0dbd8-15b5-4dc4-a81c-9bd2139c3779,pseudonymized_Nachname_2346,Luzern,Eingereicht,dc835fd3-445e-4ac6-bcd1-3487dc7350a5,pseudonymized_Telefonnummer_2346,11.01.2022,pseudonymized_Vorname_2346,998e
Unvollständige Bewerbung,"Pseudonymized, 3181 Appenzell Innerrhoden",23.03.2022,Headhunter,gut,genügend,genügend,pseudonymized_E-Mail_2347,67695.92,04.05.2024,13.01.1962,50-60k,F,"Siegrist, Ziegler and Schürch",Enis Bühler,Joachim Kaiser,HR Specialist,e4c0a38a-3f1a-4706-81b7-bfadd7b3c712,pseudonymized_Nachname_2347,Luzern,Prescreening,08c6378e-58c8-448d-978e-5d8aa5145382,pseudonymized_Telefonnummer_2347,21.08.2022,pseudonymized_Vorname_2347,3935
Unvollständige Bewerbung,"Pseudonymized, 9280 Schaffhausen",20.08.2023,Meta,sehr gut,deutlich ungenügend,deutlich ungenügend,pseudonymized_E-Mail_2348,102959.59,04.11.2023,05.08.1982,70-80k,M,,,Irene Fuchs,Auditor,42cdcbda-b276-415a-a08d-a9443a43c680,pseudonymized_Nachname_2348,Bern,1. Interview,ad187fc2-4f2f-4962-a182-e736eff3d00c,pseudonymized_Telefonnummer_2348,18.02.2024,pseudonymized_Vorname_2348,b159
Unvollständige Bewerbung,"Pseudonymized, 5250 Thurgau",05.06.2021,Meta,Unknown,deutlich ungenügend,sehr gut,pseudonymized_E-Mail_2349,64272.3,26.02.2022,26.11.1964,50-60k,M,,,Zahra Hug Lutz,Content Creator,5450fdba-f8de-4c23-9734-8f3f33cc8bde,pseudonymized_Nachname_2349,Luzern,Angebot,f1ebe6f5-4c68-4bee-809e-5af0e6e81d1d,pseudonymized_Telefonnummer_2349,27.03.2023,pseudonymized_Vorname_2349,bf28
Nicht verfügbar,Unknown,04.03.2022,LinkedIN Jobslots,gut,gut,genügend,pseudonymized_E-Mail_2350,96423.07,26.12.2022,27.01.1975,120-130k,,,,Wanda Giger,HR Specialist,a2a62d2a-7bab-46dd-9f60-b00b4d417b64,pseudonymized_Nachname_2350,Luzern,Eingereicht,b8923efd-1226-49a0-a95b-17e8882a5821,pseudonymized_Telefonnummer_2350,22.02.2023,pseudonymized_Vorname_2350,de9e
Andere,"Pseudonymized, 5847 Luzern",28.05.2021,Google Ads,gut,knapp ungenügend,knapp ungenügend,pseudonymized_E-Mail_2351,66139.67,07.02.2023,07.03.1986,130-140k,F,,,Greta Berger-Eichenberger,Social Media Manager,03a5eb86-62ee-4344-a788-043e23abe455,pseudonymized_Nachname_2351,Bern,Prescreening,ffce09ac-944a-45c6-bc4d-075f365513e4,pseudonymized_Telefonnummer_2351,13.09.2023,pseudonymized_Vorname_2351,e744
Überqualifiziert,"Pseudonymized, 3460 Schwyz",01.03.2023,Direkt,deutlich ungenügend,sehr gut,sehr gut,pseudonymized_E-Mail_2352,116780.06,02.06.2024,02.01.1963,70-80k,F,,,Prof. Layla Küng,Recruiter,db42fd7b-bd80-4f20-a2cd-f55c01f20450,pseudonymized_Nachname_2352,Luzern,Angebot,42c79783-fc52-4468-85cc-ec3fe9596119,pseudonymized_Telefonnummer_2352,30.06.2023,pseudonymized_Vorname_2352,7bec
